Dateiname,Unbekannte_Wörter,Wortfragmente,Wortanzahl,Entscheidung,Unbekannte_Wörter_Anzahl,Wortfragmente_Anzahl,Dateigröße_Bytes
"681226 — HCO Bulletin — Third Party Law, The  [B041-099].txt",0.80%,0.09%,1125,Geeignet,9,1,6474
730130RE — HCO Bulletin — Method 9 Word Clearing the Right Way  [B062-005].txt,2.39%,0.57%,7155,Geeignet,171,41,41018
590119 — HCO Bulletin — New HCA-HPA Course  [B035-008].txt,18.53%,6.71%,313,Ungeeignet,58,21,2100
690605 — HCO Bulletin — Two Dianetic Remedies  [B151-010].txt,2.80%,0.00%,250,Geeignet,7,0,1443
710615 — HCO Bulletin — Hi-Lo TA Assessment Rules  [B142-045].txt,2.19%,0.00%,365,Geeignet,8,0,1998
711023 Issue 3 — HCO Bulletin — Personnel Programming White Form  [B046-029].txt,2.91%,0.22%,447,Geeignet,13,1,2794
720610 Issue 5 — HCO Bulletin — Hidden Standard RD  [B049-057].txt,6.65%,0.53%,376,Ungeeignet,25,2,2130
620801 Issue 2 — HCO Bulletin — Routine 3GA - Nulling Drills for Nulling by Mid Ruds  [B029-026].txt,1.03%,0.08%,1266,Geeignet,13,1,6857
690406 Issue 2 — HCO Bulletin — Dianetics Course Auditing Requirements  [B075-009].txt,2.55%,0.13%,746,Geeignet,19,1,4409
"590812 — HCO Bulletin — Second Type of Franchise, A  [B035-095].txt",2.82%,0.68%,888,Geeignet,25,6,5168
621018 — HCO Bulletin — 3GA - Listing by Prehav  [B160-033].txt,3.44%,0.00%,553,Geeignet,19,0,3354
630722 — HCO Bulletin — You Can Be Right  [B144-012].txt,0.51%,0.10%,1970,Geeignet,10,2,11322
610309 — HCO Bulletin — Command Sheet - Prehavingness Scale  [B028-013].txt,2.18%,0.00%,505,Geeignet,11,0,3450
781115 — HCO Bulletin — Dating and Locating  [B102-032].txt,1.62%,0.12%,4247,Geeignet,69,5,23296
"820426 — HCO Bulletin — Criminal Mind and the Psychs, The  [B064-019].txt",1.59%,0.18%,565,Geeignet,9,1,3342
600725 — HCO Bulletin — Training for Business  [B024-169].txt,2.26%,0.15%,1370,Geeignet,31,2,7549
700126 — HCO Bulletin — Exterior and Sec Checks  [B043-009].txt,2.54%,0.00%,315,Geeignet,8,0,1854
711031 — HCO Bulletin — CS Rules  [B011-221].txt,4.52%,0.53%,376,Geeignet,17,2,2200
720620 — HCO Bulletin — Cancellation of Issues  [B012-129].txt,6.58%,2.63%,76,Ungeeignet,5,2,470
780602R — HCO Bulletin — Cramming Repair Assessment List  [B082-021].txt,4.52%,0.09%,1128,Geeignet,51,1,6414
601118 — HCO Bulletin — Preclear Assessment Sheet  [Misc35-003].txt,3.04%,0.36%,822,Geeignet,25,3,5451
581217 — HCO Bulletin — Basic Postulate of Overt Act - Motivator Sequence  [B022-094].txt,1.97%,0.00%,152,Geeignet,3,0,917
600420 — HCO Bulletin — Processes  [B024-111].txt,5.17%,0.86%,232,Ungeeignet,12,2,1425
590617 — HCO Bulletin — Communication Course  [B035-063].txt,6.05%,1.41%,925,Ungeeignet,56,13,5287
620510 — HCO Bulletin — Prepchecking and Sec Checking  [B038-020].txt,9.17%,0.60%,2007,Ungeeignet,184,12,11798
590908 — HCO Bulletin — Status of HASI Johannesburg  [B023-159].txt,7.58%,0.69%,726,Ungeeignet,55,5,4265
800917 Issue 1 — HCO Bulletin — L3RG and R3RA Word List  [B082-003].txt,5.60%,0.36%,554,Ungeeignet,31,2,3705
690402R — HCO Bulletin — Dianetic Assists  [B042-062].txt,1.77%,0.07%,1412,Geeignet,25,1,8523
731124RD — HCO Bulletin — Hi-Lo TA Assessment CS - (CS Series 53 - Short Form)  [B082-011].txt,5.85%,0.62%,1283,Ungeeignet,75,8,7154
"620222 — HCO Bulletin — Withholds, Missed and Partial  [B038-009].txt",1.58%,0.18%,568,Geeignet,9,1,3189
710702 Issue 3 — HCO Bulletin — Word Clearing Clarification  [B011-105].txt,2.63%,0.66%,304,Geeignet,8,2,1743
700925 — HCO Bulletin — Addition to HCOB 24 April 1969 - Preclear Assessment Sheet  [B010-111].txt,5.88%,0.98%,102,Ungeeignet,6,1,604
681109 — HCO Bulletin — Clearing Commands - All Levels  [B041-094].txt,4.85%,0.00%,103,Geeignet,5,0,611
800902 — HCO Bulletin — Repair Correction List Words  [B059-017].txt,4.26%,0.27%,376,Geeignet,16,1,2355
590528 — HCO Bulletin — Terminals  [B023-086].txt,4.81%,0.51%,395,Geeignet,19,2,2180
720619 — HCO Bulletin — Dinky Dictionaries  [B049-061].txt,4.39%,0.00%,319,Geeignet,14,0,1985
780715R — HCO Bulletin Attachment — Scientology CS-1 - Definitions Sheet  [B174-008].txt,2.84%,0.08%,2608,Geeignet,74,2,16102
720328 — HCO Bulletin — Expanded Dianetics - Developments Since the Original Lectures  [B014-016].txt,4.21%,0.33%,1210,Geeignet,51,4,6820
"721105 Issue 3 — HCO Bulletin — Folder Summary, The  [B012-171].txt",8.55%,0.92%,982,Ungeeignet,84,9,5353
721213 — HCO Bulletin — Integrity Processing Questions Must Be FNed  [B050-083].txt,3.30%,0.22%,455,Geeignet,15,1,2813
700703 — HCO Bulletin — CSing Two-Way Comm  [B078-014].txt,9.35%,0.97%,310,Ungeeignet,29,3,1689
600506 — HCO Horticultural Bulletin — Fifth Dynamic Research  [B024-129].txt,18.79%,1.54%,713,Ungeeignet,134,11,4502
630625 — HCO Bulletin — Routine 2H - ARC Breaks by Assessment  [B003-028].txt,2.35%,0.39%,765,Geeignet,18,3,4331
660403 — HCO Bulletin — Dianetic Auditing Course  [B006-010].txt,2.11%,0.09%,3310,Geeignet,70,3,18782
620405 — HCO Bulletin — CCHs - Auditing Attitude  [B029-009].txt,3.33%,0.16%,1832,Geeignet,61,3,10250
800530 — HCO Bulletin — Supervising Co-Audit TRs  [B056-023].txt,1.05%,0.00%,666,Geeignet,7,0,3695
690506 Issue 2 — HCO Bulletin — Routine 3R Revised - Engram Running by Chains  [B042-048].txt,3.14%,0.13%,1497,Geeignet,47,2,8506
711101 — HCO Bulletin — Drill - Checking for Overrun or Unflat - for Use on the HQS Course  [B047-001].txt,8.29%,0.51%,591,Ungeeignet,49,3,3309
600208 — HCO Bulletin — Security Checks  [B024-035].txt,5.77%,0.00%,104,Ungeeignet,6,0,661
650721 — HCO Bulletin — Release Rehabilitation  [B148-011].txt,2.14%,0.24%,421,Geeignet,9,1,2334
591229 — HCO Bulletin — Letter from South Africa  [B023-278].txt,15.37%,2.54%,670,Ungeeignet,103,17,4161
721107 Issue 3 — HCO Bulletin — L & N Lists  [B012-184].txt,5.50%,1.48%,473,Ungeeignet,26,7,2544
690607 — HCO Bulletin — How to Make a Person Sober  [B009-103].txt,2.44%,0.54%,369,Geeignet,9,2,2129
600418 — HCO Bulletin — SOP Goals  [B037-027].txt,9.09%,1.01%,99,Ungeeignet,9,1,647
700422R — HCO Bulletin — Clay Table Demo Checkouts  [B094-010].txt,4.20%,0.00%,405,Geeignet,17,0,2504
570308 — HCO Bulletin — Goal of Indoctrination Course  [B021-006].txt,10.00%,0.00%,70,Ungeeignet,7,0,524
840605 — HCO Bulletin — False Purpose Rundown  [B057-054].txt,3.38%,0.15%,650,Geeignet,22,1,4028
630729 — HCO Bulletin — Scientology Review  [B153-037].txt,1.90%,0.10%,1000,Geeignet,19,1,5744
710904RA — HCO Bulletin — How to Use a Dictionary  [B095-008].txt,1.58%,0.00%,1578,Geeignet,25,0,9301
840226 Issue 2 — HCO Bulletin — Art and Integration  [B062-034].txt,1.29%,0.30%,2021,Geeignet,26,6,12043
720615 — HCO Bulletin — ''Dog PCs''  [B012-126].txt,2.41%,0.44%,456,Geeignet,11,2,2434
651206 — HCO Bulletin — Low TA Cases  [B005-052].txt,2.27%,0.00%,88,Geeignet,2,0,509
711009 Issue 7 — HCO Bulletin — Drills Course for Auditors - Dianetic Drills  [B011-194].txt,3.63%,0.23%,6583,Geeignet,239,15,38636
580402 — HCO Bulletin — ARC in Comm Course  [B132-002].txt,4.90%,1.05%,286,Geeignet,14,3,1640
610430R — HCO Bulletin — Change Brackets and Commands  [B085-008].txt,3.90%,0.00%,461,Geeignet,18,0,3046
690209 — HCO Bulletin — Research Notes - Re - The Triple Grades  [B042-008].txt,4.13%,1.10%,363,Geeignet,15,4,2140
"680910-1 — HCO Bulletin — Green Form, S & D  [B092-006].txt",4.33%,0.43%,231,Geeignet,10,1,1257
591007 — HCO Bulletin — Good News from HASI Melbourne  [B023-214].txt,4.31%,1.26%,557,Geeignet,24,7,3358
710629 — HCO Bulletin — Important - Steps to Speed Student Product Flow  [B044-093].txt,11.78%,0.58%,518,Ungeeignet,61,3,3037
580707 — HCO Bulletin — Contents and Coverage of HCA-HPA Course  [B022-059].txt,14.94%,1.15%,87,Ungeeignet,13,1,634
710609 Issue 2 — HCO Bulletin — CS Rules  [B142-042].txt,2.38%,0.37%,547,Geeignet,13,2,2939
640629 — HCO Bulletin — Central Org and Field Auditor Targets  [B147-004].txt,2.40%,0.32%,2164,Geeignet,52,7,11730
610519 — HCO Bulletin — Assessment Data  [B135-005].txt,2.59%,0.00%,735,Geeignet,19,0,4147
600622 — HCO Bulletin — Certificate Checksheet (Checklist)  [B024-157].txt,16.71%,2.15%,419,Ungeeignet,70,9,3009
811030 — HCO Bulletin — CS Series 114 Cancelled  [B061-008].txt,7.38%,0.78%,515,Ungeeignet,38,4,2996
600210 — HCO Bulletin — Definition - The State of Release  [B024-041].txt,3.12%,3.12%,64,Geeignet,2,2,388
650721 — HCO Bulletin — Release Rehabilitation  [B040-065].txt,3.58%,0.24%,419,Geeignet,15,1,2313
690501 — HCO Bulletin — Grinding Out Engrams  [B009-055].txt,2.75%,0.18%,545,Geeignet,15,1,3190
591023 — HCO Bulletin — Suggestion Addition to E-Meter TR for Academy Students  [B035-159].txt,5.05%,1.01%,198,Ungeeignet,10,2,1250
651124 — HCO Bulletin — Search and Discovery  [B040-092].txt,3.48%,0.32%,1896,Geeignet,66,6,10727
600303 — HCO Bulletin — OT-3A Procedure - HGC Allowed Processes  [B027-020].txt,2.96%,0.48%,1049,Geeignet,31,5,6203
710902 — HCO Bulletin — Words and Posts  [B045-036].txt,3.60%,0.45%,445,Geeignet,16,2,2547
620629 — HCO Bulletin — Batteries and the Mark IV E-Meter  [B002-040].txt,3.82%,3.18%,157,Geeignet,6,5,968
610803 — HCO Bulletin — Getting a Process Started  [B001-067].txt,3.71%,0.00%,458,Geeignet,17,0,2564
"601026 — HCO Bulletin — Auditing Win, An  [B140-038].txt",2.89%,0.41%,242,Geeignet,7,1,1447
"780711 — HCO Bulletin — Preassessment List, The  [B102-010].txt",8.25%,0.49%,206,Ungeeignet,17,1,1550
701018 — HCO Bulletin — Auditor's Stats on FN VGI  [B010-119].txt,8.18%,0.00%,379,Ungeeignet,31,0,2101
600222 — HCO Bulletin — 'The following listed auditors...'  [B024-054].txt,11.97%,0.00%,117,Ungeeignet,14,0,765
690405 — HCO Bulletin — New Preclears - The Workability of Scientology  [B043-041].txt,1.84%,0.16%,1851,Geeignet,34,3,10272
"680901 — HCO Bulletin — Summary of How to Write an Auditor's Report, Worksheets and Summary Report, with Some Additional Information  [B041-067].txt",4.87%,0.30%,657,Geeignet,32,2,3755
600512 — HCO Bulletin — Help Processing  [B141-024].txt,2.70%,0.47%,1075,Geeignet,29,5,6048
"601017 — HCO Bulletin — Bulletin Check List (WE October 15, 1960)  [B024-209].txt",5.15%,1.10%,272,Ungeeignet,14,3,1644
591218 — HCO Bulletin — HAS Co-Audit  [B035-187].txt,10.29%,1.47%,68,Ungeeignet,7,1,451
600324 — HCO Bulletin — Goals in the Rudiments  [B114-007].txt,2.01%,0.00%,1644,Geeignet,33,0,9385
590204 — HCO Bulletin — Op Pro by Dup  [B071-022].txt,3.30%,0.47%,212,Geeignet,7,1,1233
570903 — HCO Training Bulletin — HPA-HCA Course Processes  [B021-058].txt,2.02%,0.40%,247,Geeignet,5,1,1505
710630 Issue 2RC — HCO Bulletin — Standard CS for Word Clearing In Session - Method 1  [B130-028].txt,2.13%,0.00%,2211,Geeignet,47,0,12791
"620111 — HCO Bulletin — Security Checking, Twenty-Ten - Theory  [B002-003].txt",4.94%,0.15%,668,Geeignet,33,1,3962
690314 — HCO Bulletin — 'It is okay for any Class VIII...'  [B042-015].txt,7.83%,0.87%,115,Ungeeignet,9,1,689
"600522 — HCO Bulletin — De-Certification, How You Should Support It  [B141-028].txt",3.78%,0.40%,502,Geeignet,19,2,3000
580929 — HCO Bulletin — Vital Training Data  [B022-076].txt,3.45%,0.45%,667,Geeignet,23,3,4056
580805 Issue 2R — HCO Bulletin — Rock Bracket  [B034-058].txt,4.59%,0.00%,218,Geeignet,10,0,1208
641017 Issue 3 — HCO Bulletin — Getting the PC Sessionable  [B040-035].txt,5.20%,0.11%,923,Ungeeignet,48,1,5244
650731 — HCO Bulletin — Releases - R6EW Note  [B168-044].txt,4.94%,1.73%,405,Geeignet,20,7,2309
711005 — HCO Bulletin — FNing Auditors  [B011-185].txt,4.98%,0.00%,321,Geeignet,16,0,1840
590306 — HCO Bulletin — How to Do a Diagnosis on Dynamic Straightwire  [B035-026].txt,2.64%,0.22%,455,Geeignet,12,1,2541
700801 — HCO Bulletin — FN and Erasure  [B043-082].txt,11.22%,0.75%,401,Ungeeignet,45,3,2356
"600823 — HCO Bulletin — Bulletin Check List (WE August 20, 1960)  [B024-177].txt",4.83%,1.12%,269,Geeignet,13,3,1601
"740123R — HCO Bulletin — Technical Breakthrough of 1973! - The Introspection RD, The  [B014-009].txt",9.51%,0.95%,2840,Ungeeignet,270,27,16869
600204 — HCO Bulletin — Theory of Responsibility Processing  [B139-037].txt,1.05%,0.00%,1333,Geeignet,14,0,7614
710808 Issue 2 — HCO Bulletin — Sub-Zeros - Triple Grades - Lower Levels - Triple Grades  [B011-128].txt,8.86%,3.12%,1568,Ungeeignet,139,49,8818
620912 — HCO Bulletin — Security Checks Again  [B002-064].txt,1.09%,0.14%,737,Geeignet,8,1,4298
711009 Issue 1 — HCO Bulletin — Drills Course for Auditors Basic Drills  [B046-010].txt,5.37%,0.30%,4357,Ungeeignet,234,13,25422
591005 — HCO Bulletin — Game Condition and Auditing  [B133-062].txt,7.14%,1.32%,532,Ungeeignet,38,7,3140
670418 — HCO Bulletin — Religious Philosophy and Religious Practice  [B041-027].txt,6.38%,0.00%,282,Ungeeignet,18,0,1917
600825 — HCO Bulletin — Powerful Presession Additions  [B024-178].txt,2.81%,0.18%,569,Geeignet,16,1,3286
770121RB — HCO Bulletin — False TA Checklist  [B079-036].txt,5.34%,0.49%,3072,Ungeeignet,164,15,16386
720409 Issue 02 — HCO Bulletin — Clearing List Words in Scientology - LCR  [B049-009].txt,3.27%,0.00%,214,Geeignet,7,0,1340
700625 — HCO Bulletin — CS Series 011  [B010-066].txt,10.66%,0.58%,1210,Ungeeignet,129,7,7557
710314R — HCO Bulletin — FN Everything  [B130-006].txt,2.56%,0.23%,860,Geeignet,22,2,4522
810913 Issue 2R — HCO Bulletin — Revision of Academy Levels 0-IV Auditing Requirements  [B061-007].txt,3.59%,1.35%,223,Geeignet,8,3,1412
710815 — HCO Bulletin — TR Course Bugs Handling  [B011-132].txt,4.14%,0.22%,1376,Geeignet,57,3,7970
850501 — HCO Bulletin — Honesty and Case Gain  [B057-072].txt,3.25%,0.22%,461,Geeignet,15,1,2642
"900327 Issue 2 — HCO Bulletin — Purification Rundown - A Long-Range Detoxification Program, The  [B112-002].txt",1.49%,0.14%,1406,Geeignet,21,2,8846
"670819 — HCO Bulletin — Supreme Test, The  [B157-002].txt",0.87%,0.33%,923,Geeignet,8,3,5085
730610 Issue 1RA — HCO Bulletin — Cramming  [B097-007].txt,7.04%,0.00%,199,Ungeeignet,14,0,1185
820325 — HCO Bulletin — Objectives Not Biting  [B106-005].txt,3.03%,0.37%,1090,Geeignet,33,4,6424
590122 — HCO Bulletin — Not-Is Straightwire  [B133-004].txt,1.92%,0.00%,365,Geeignet,7,0,2149
610914 — HCO Bulletin — New Rudiments Commands  [B001-075].txt,1.50%,0.00%,267,Geeignet,4,0,1652
671105 — HCO Bulletin — Critics of Scientology  [B091-006].txt,1.14%,0.00%,968,Geeignet,11,0,5626
700809 — HCO Bulletin — Dianetic Student Rescue Intensive  [B043-084].txt,6.67%,0.00%,240,Ungeeignet,16,0,1488
590605 — HCO Bulletin — Formula 10  [B035-054].txt,6.91%,0.00%,304,Ungeeignet,21,0,1847
"720505R — HCO Bulletin — Remedy of Havingness, The  [B096-021].txt",8.50%,0.54%,2236,Ungeeignet,190,12,12715
640818 — HCO Bulletin — Clay Table Work - Covering Clay Table Clearing in Detail  [B081-001].txt,2.02%,0.16%,3113,Geeignet,63,5,17109
"600425 — HCO Bulletin — Good Session, A  [B024-114].txt",1.56%,0.45%,448,Geeignet,7,2,2396
721224 Issue 2 — HCO Bulletin — Integrity Processing Form 02 - General Staff Integrity List  [B050-094].txt,4.67%,2.00%,599,Geeignet,28,12,3881
720409 Issue 09 — HCO Bulletin — Clearing List Words in Scientology - L1X HI-Lo TA List Revised  [B012-078].txt,4.55%,0.70%,286,Geeignet,13,2,1934
690506 Issue 1 — HCO Bulletin — Dianetics and Review  [B009-058].txt,2.40%,0.00%,167,Geeignet,4,0,1022
581201 — HCO Bulletin — Actions to Start an HCO  [B022-088].txt,2.31%,0.00%,130,Geeignet,3,0,772
701013 — HCO Bulletin — Course Supervisor Corrections  [B010-118].txt,1.64%,0.00%,365,Geeignet,6,0,2128
700524 — HCO Bulletin — Auditor's Rights  [B010-047].txt,3.48%,0.18%,2815,Geeignet,98,5,15097
711218-1 — HCO Bulletin — Chronological Index of CS Series HCOBs by Title and Subject  [B049-029].txt,3.66%,0.13%,766,Geeignet,28,1,4527
590926 — HCO Bulletin — Data on Clearing a Staff Member after Specific Terminals Are Flat with Overt-Withhold Straightwire  [B023-193].txt,4.69%,0.00%,192,Geeignet,9,0,1152
590106 — HCO Bulletin — Field Activities  [B145-001].txt,1.51%,0.29%,1390,Geeignet,21,4,7909
570616 — HCO Bulletin — People's Questions  [B021-035].txt,5.63%,0.00%,71,Ungeeignet,4,0,470
600512 — HCO Bulletin — Help Processing  [B036-087].txt,1.64%,0.41%,977,Geeignet,16,4,5399
690519 — HCO Bulletin Attachment — Pastoral Counseling - Health Form  [B009-092].txt,2.75%,0.69%,436,Geeignet,12,3,2608
780624 — HCO Bulletin — Original Assessment Sheet  [B165-035].txt,2.60%,0.58%,1387,Geeignet,36,8,9587
710703 — HCO Bulletin — Auditing by Lists Revised  [B045-005].txt,5.75%,0.57%,1235,Ungeeignet,71,7,6457
660920 — HCO Bulletin — Minus Scale Releases - ARC Straightwire - Dianetic  [B041-018].txt,3.61%,0.00%,499,Geeignet,18,0,2939
600422 — HCO Bulletin — Flattening Terminals  [B139-069].txt,3.12%,0.83%,481,Geeignet,15,4,2760
721224 Issue 1 — HCO Bulletin — Integrity Processing Form 01 - The Basic Integrity List  [B012-217].txt,4.62%,0.79%,757,Geeignet,35,6,4963
700828RB — HCO Bulletin — HC Outpoint-Pluspoint Lists RB  [B079-020].txt,2.86%,0.50%,1400,Geeignet,40,7,10137
811205R — HCO Bulletin — Setting Up and Using a Reel-to-Reel Tape Player  [B060-023].txt,5.50%,0.38%,2110,Ungeeignet,116,8,12020
650329 — HCO Bulletin — ARC Breaks  [B005-005].txt,1.40%,0.16%,1284,Geeignet,18,2,7038
640814 — HCO Bulletin — Prepcheck Buttons  [B138-002].txt,2.96%,0.35%,575,Geeignet,17,2,3463
591012 — HCO Bulletin — Printing and Re-Printing of Books  [B023-212].txt,4.31%,1.26%,557,Geeignet,24,7,3358
700302 — HCO Bulletin — List L1A  [B165-056].txt,2.03%,0.00%,246,Geeignet,5,0,1584
"790716 — HCO Bulletin — ''Elusive'' Mis-U or Crashing Mis-U, The  [B169-003].txt",2.46%,0.56%,895,Geeignet,22,5,5016
700615 — HCO Bulletin — Repair Example  [B010-058].txt,6.06%,0.81%,1600,Ungeeignet,97,13,8803
620902 — HCO Bulletin — Account of Congress Goal  [B002-061].txt,2.43%,0.13%,742,Geeignet,18,1,4223
680917 — HCO Bulletin — Overrun Process  [B041-074].txt,10.06%,0.00%,179,Ungeeignet,18,0,986
710609 Issue 1 — HCO Bulletin — CS Tips  [B142-041].txt,2.30%,0.21%,957,Geeignet,22,2,5005
690128 — HCO Bulletin — Handling Triple  [B159-005].txt,2.20%,0.27%,364,Geeignet,8,1,2236
710717 — HCO Bulletin — Out of Valence  [B011-115].txt,3.29%,0.25%,395,Geeignet,13,1,2173
721209 — HCO Bulletin — Why Overts Work  [B050-079].txt,4.55%,0.33%,615,Geeignet,28,2,3616
590703 — HCO Bulletin — General Information  [B133-038].txt,5.82%,0.30%,5052,Ungeeignet,294,15,32195
590925 — HCO Bulletin — HAS Co-Audit  [B133-058].txt,1.45%,0.29%,344,Geeignet,5,1,1942
680919 — HCO Bulletin — 'Old lists are not to be copied...'  [B041-075].txt,6.25%,0.89%,112,Ungeeignet,7,1,652
"780711 — HCO Bulletin — Preassessment List, The  [B082-026].txt",9.09%,0.48%,209,Ungeeignet,19,1,1347
580201 — HCO Bulletin — Clearing of Fields  [B034-012].txt,5.29%,1.38%,869,Ungeeignet,46,12,4815
"720505R — HCO Bulletin — Remedy of Havingness, The  [B096-022].txt",1.60%,0.18%,2246,Geeignet,36,4,12672
"600412 — HCO Bulletin — Analysis of Promotion, An  [B036-069].txt",2.05%,0.27%,731,Geeignet,15,2,4074
700906 — HCO Bulletin — Model Consultation for Hubbard Consultant  [B043-095].txt,4.00%,0.55%,725,Geeignet,29,4,4162
720108 Issue 3 — HCO Bulletin — 0-IV Expanded Grade Processes - Triples - Part E - Grade III Processes  [B048-037].txt,4.95%,2.75%,1637,Geeignet,81,45,9531
620927 — HCO Bulletin — Dream Come True  [B038-062].txt,8.00%,2.00%,100,Ungeeignet,8,2,604
581220 — HCO Bulletin — Processing a New Mother  [B022-096].txt,2.04%,0.00%,638,Geeignet,13,0,3715
600928 — HCO Bulletin — Tips on How to Crack an HGC Case  [B141-044].txt,9.24%,0.80%,249,Ungeeignet,23,2,1668
641022 — HCO Bulletin — What an R6 Auditor Should Know  [B168-022].txt,3.57%,0.00%,645,Geeignet,23,0,3630
681008 — HCO Bulletin — Case Supervisor - Folder Handling  [B041-086].txt,3.86%,0.00%,233,Geeignet,9,0,1366
731123RB — HCO Bulletin — Dry and Wet Hands Make False TA  [B055-038].txt,5.95%,0.00%,975,Ungeeignet,58,0,5433
590921 — HCO Bulletin — New Ads for PE Foundation  [B035-134].txt,7.41%,2.47%,81,Ungeeignet,6,2,452
651227 — HCO Bulletin — Vitamins  [B031-039].txt,1.65%,0.26%,1149,Geeignet,19,3,6533
691003 — HCO Bulletin — Dianetic Remedies  [B075-083].txt,3.75%,0.10%,1012,Geeignet,38,1,5788
660403 — HCO Bulletin — Dianetic Auditing Course  [B068-007].txt,1.26%,0.03%,3343,Geeignet,42,1,19060
590819 — HCO Bulletin — To a Roman Catholic  [B133-048].txt,3.71%,0.00%,647,Geeignet,24,0,3810
701210 Issue 1RA — HCO Bulletin — Clay Table Work in Training  [B094-039].txt,0.72%,0.12%,1666,Geeignet,12,2,9300
600210 Issue 2 — HCO Bulletin — Restoration of Certificates  [B036-033].txt,8.86%,0.00%,79,Ungeeignet,7,0,540
600809 — HCO Bulletin — Epitaph  [B036-119].txt,12.05%,1.11%,813,Ungeeignet,98,9,4868
770130R — HCO Bulletin — False TA Data  [B055-046].txt,13.33%,0.35%,285,Ungeeignet,38,1,1599
710211 — HCO Bulletin — Successful Cramming Actions  [B044-014].txt,3.34%,0.23%,1708,Geeignet,57,4,9723
600505 — HCO Bulletin — Help  [B134-006].txt,4.46%,0.19%,2646,Geeignet,118,5,15484
720902 — HCO Bulletin — Why Finding Drill - One  [B050-016].txt,2.42%,0.21%,952,Geeignet,23,2,5534
690821 — HCO Bulletin — TR 104 Note  [B009-149].txt,1.81%,0.00%,166,Geeignet,3,0,989
711010 — HCO Bulletin — Tech Points on a Word Clearing Festival  [B046-018].txt,3.88%,0.32%,309,Geeignet,12,1,1821
690509 Issue 2 — HCO Bulletin — Case Supervisor Forms  [B159-023].txt,5.45%,0.36%,275,Ungeeignet,15,1,1672
"840110 — HCO Bulletin — Use of Demonstration, The  [B057-030].txt",1.12%,0.00%,1075,Geeignet,12,0,6058
600108 — HCO Bulletin — OT Procedure for HCS-BScn Courses  [B114-002].txt,5.43%,0.09%,1105,Ungeeignet,60,1,6702
691205 Issue 1 — HCO Bulletin — Re - Prepchecks  [B042-149].txt,8.95%,1.33%,525,Ungeeignet,47,7,3036
790304R — HCO Bulletin — Art in Its Basics  [B058-025].txt,2.39%,0.00%,460,Geeignet,11,0,2726
800723 — HCO Bulletin — Confessional Repair List - LCRD  [B056-034].txt,4.66%,0.35%,1138,Geeignet,53,4,6352
710913 Issue 2 — HCO Bulletin — Folder Summaries  [B045-045].txt,5.46%,0.17%,586,Ungeeignet,32,1,3267
780807 — HCO Bulletin — Havingness - Finding and Running the PCs Havingness Process  [B166-005].txt,3.00%,0.62%,800,Geeignet,24,5,4672
590414 — HCO Bulletin — Letter from Australia  [B035-036].txt,2.60%,0.71%,423,Geeignet,11,3,2486
651116 — HCO Bulletin — E-Meter Sensitivity Setting  [B067-018].txt,7.58%,0.00%,66,Ungeeignet,5,0,449
600331 — HCO Bulletin — Electrode Improvement Tip  [B024-090].txt,13.04%,0.72%,276,Ungeeignet,36,2,1615
591021 — HCO Bulletin — Academy Administration Route Sheet  [B023-235].txt,11.82%,1.42%,423,Ungeeignet,50,6,3222
600325 — HCO Bulletin — Suspension of Certificates  [B024-085].txt,5.42%,0.00%,166,Ungeeignet,9,0,1088
710716 — HCO Bulletin — Drug Procedures Corrected  [B045-012].txt,3.81%,0.00%,210,Geeignet,8,0,1212
"600627 — HCO Bulletin — Bulletin Check List (WE June 25, 1960)  [B024-160].txt",8.01%,0.00%,287,Ungeeignet,23,0,1689
600211 — HCO Bulletin — Create and Confront  [B036-035].txt,3.30%,0.31%,971,Geeignet,32,3,5749
690524 Issue 2 — HCO Bulletin — Dianetic High Crimes  [B159-030].txt,1.49%,0.00%,268,Geeignet,4,0,1541
800514 — HCO Bulletin — ''Demonstrations'' HCOB Cancelled  [B058-041].txt,2.08%,0.00%,144,Geeignet,3,0,886
650727 — HCO Bulletin — Auditing by Lists  [B031-017].txt,2.18%,0.20%,504,Geeignet,11,1,2847
590903 — HCO Bulletin — Why ''Victim'' Works as a Process  [B023-150].txt,3.16%,0.24%,1648,Geeignet,52,4,9214
590625 — HCO Bulletin — Magazine Articles  [B023-103].txt,2.70%,0.60%,333,Geeignet,9,2,1731
720105 Issue 2 — HCO Bulletin — 0-IV Expanded Grade Processes - Triples - Part B - Grade 0 Processes  [B012-006].txt,5.45%,1.44%,1742,Ungeeignet,95,25,10521
610223 — HCO Bulletin — PT Problem and Goals  [B001-014].txt,4.93%,0.29%,345,Geeignet,17,1,1953
590304 — HCO Bulletin — HGC Allowed Processes  [B035-025].txt,3.23%,0.00%,248,Geeignet,8,0,1570
591025 — HCO Bulletin — Psychoanalysis Goes Capitalistic  [B023-246].txt,4.77%,0.72%,692,Geeignet,33,5,4495
600205 — HCO Bulletin — Processing the Machine Case  [B027-011].txt,2.35%,0.34%,298,Geeignet,7,1,1725
620321 — HCO Bulletin — Prepchecking Data - When to Do a What  [B160-004].txt,1.74%,0.12%,1724,Geeignet,30,2,9616
621107 Issue 2 — HCO Bulletin — Routine 3-21 - The Twenty-One Steps - Finding Goals  [B002-079].txt,6.42%,0.72%,1246,Ungeeignet,80,9,7008
